Year,Educational Level,Academic Level,Type of Educational Institution,Region,State,Type of University,University Name,General Field,Field,Specialization,Education type,Gender,Nationality,Number of Students
1/1/2014,بكالوريوس,بكالوريوس,جامعات حكومية,الشرقية,الظهران,جامعة,جامعة الملك فهد للبترول والمعادن,الهندسة والتصنيع والبناء,الهندسة والحرف الهندسية,الهندسة والمعالجات الكيميائية,منتظم,ذكر,غير سعودي,14
1/1/2015,بكالوريوس,بكالوريوس,جامعات حكومية,مكة المكرمة,جدة,جامعة,جامعة الملك عبدالعزيز,الصحة والرفاة,الصحة,التشخيص الطبي وتكنولوجيا العلاج,منتظم,أنثى,سعودي,69
1/1/2015,بكالوريوس,بكالوريوس,جامعات وكليات أهلية,الرياض,الرياض,كلية,كلية العناية الطبية الأهلية,الصحة والرفاة,الصحة,التمريض والقبالة,منتظم,أنثى,سعودي,147
1/1/2014,دراسات عليا,دكتوراه,جامعات حكومية,الرياض,الرياض,جامعة,جامعة الملك سعود,التعليم,التعليم,تدريب المعلمين مع موضوع تخصصي,منتظم,ذكر,سعودي,20
1/1/2014,بكالوريوس,بكالوريوس,جامعات حكومية,حائل,حائل,جامعة,جامعة حائل,البرامج والمؤهلات العامة,البرامج والمؤهلات العامة,البرامج والمؤهلات العامة,منتظم,أنثى,سعودي,625
1/1/2017,بكالوريوس,بكالوريوس,جامعات حكومية,الرياض,الأفلاج,جامعة,جامعة الأمير سطام بن عبدالعزيز,تكنولوجيا الاتصالات والمعلومات,تكنولوجيا الاتصالات والمعلومات,تطوير وتحليل البرمجيات والتطبيقات,منتظم,ذكر,غير سعودي,11
1/1/2015,بكالوريوس,بكالوريوس,جامعات حكومية,الرياض,الخرج,جامعة,جامعة الأمير سطام بن عبدالعزيز,الصحة والرفاة,الصحة,التشخيص الطبي وتكنولوجيا العلاج,منتظم,أنثى,سعودي,98
1/1/2017,بكالوريوس,بكالوريوس,جامعات حكومية,الرياض,شقراء,جامعة,جامعة شقراء,العلوم الاجتماعية والصحافة والإعلام,العلوم الاجتماعية والسلوكية,علم النفس,منتظم,ذكر,سعودي,237
1/1/2014,دراسات عليا,دكتوراه,جامعات حكومية,مكة المكرمة,جدة,جامعة,جامعة الملك عبدالعزيز,الفنون والعلوم الإنسانية,الدراسات الإنسانية,التاريخ وعلم الآثار,منتظم,ذكر,سعودي,18
1/1/2013,دبلوم متوسط,دبلوم متوسط,مؤسسات التعليم العالي الأخرى,عسير,خميس مشيط,كلية,المؤسسة العامة للتدريب التقني والمهني,تكنولوجيا الاتصالات والمعلومات,تكنولوجيا الاتصالات والمعلومات,تصميم وإدارة قواعد وشبكات البيانات,منتظم,ذكر,غير سعودي,3
1/1/2013,دبلوم متوسط,دبلوم متوسط,جامعات حكومية,حائل,حائل,جامعة,جامعة حائل,الصحة والرفاة,الصحة,التمريض والقبالة,منتظم,أنثى,سعودي,35
1/1/2013,بكالوريوس,بكالوريوس,جامعات حكومية,الرياض,الرياض,جامعة,جامعة الملك سعود,الصحة والرفاة,الصحة,التشخيص الطبي وتكنولوجيا العلاج,منتظم,ذكر,غير سعودي,5
1/1/2015,دبلوم متوسط,دبلوم متوسط,مؤسسات التعليم العالي الأخرى,مكة المكرمة,جدة,كلية,المؤسسة العامة للتدريب التقني والمهني,الصحة والرفاة,الصحة,التشخيص الطبي وتكنولوجيا العلاج,منتظم,ذكر,سعودي,82
1/1/2016,دبلوم متوسط,دبلوم متوسط,جامعات حكومية,جازان,جازان,جامعة,جامعة جازان,الأعمال والإدارة والقانون,الأعمال والإدارة,التسويق والإعلان,منتظم,ذكر,غير سعودي,1
1/1/2015,دبلوم متوسط,دبلوم متوسط,مؤسسات التعليم العالي الأخرى,الشرقية,الدمام,كلية,المؤسسة العامة للتدريب التقني والمهني,تكنولوجيا الاتصالات والمعلومات,تكنولوجيا الاتصالات والمعلومات,تطوير وتحليل البرمجيات والتطبيقات,منتظم,ذكر,سعودي,164
1/1/2015,بكالوريوس,بكالوريوس,جامعات حكومية,الرياض,المجمعة,جامعة,جامعة المجمعة,تكنولوجيا الاتصالات والمعلومات,تكنولوجيا الاتصالات والمعلومات,تطوير وتحليل البرمجيات والتطبيقات,منتظم,أنثى,غير سعودي,1
1/1/2014,بكالوريوس,بكالوريوس,جامعات حكومية,الرياض,الرياض,جامعة,جامعة الملك سعود,الصحة والرفاة,الرفاة,الخدمات الاجتماعية والإرشاد,منتظم,ذكر,غير سعودي,3
1/1/2017,دراسات عليا,ماجستير,جامعات حكومية,مكة المكرمة,الطائف,جامعة,جامعة الطائف,الأعمال والإدارة والقانون,القانون,القانون,منتظم,أنثى,سعودي,52
1/1/2017,بكالوريوس,بكالوريوس,جامعات حكومية,الرياض,الرياض,جامعة,جامعة الإمام محمد بن سعود الإسلامية,الأعمال والإدارة والقانون,القانون,القانون,منتظم,ذكر,غير سعودي,333
1/1/2016,بكالوريوس,بكالوريوس,جامعات حكومية,الرياض,الرياض,جامعة,جامعة الأميرة نورة بنت عبدالرحمن,العلوم الطبيعية والرياضيات والإحصاء,العلوم الفيزيائية,الكيمياء,منتظم,أنثى,سعودي,75
1/1/2015,دبلوم متوسط,دبلوم متوسط,مؤسسات التعليم العالي الأخرى,جازان,جازان,كلية,المؤسسة العامة للتدريب التقني والمهني,الفنون والعلوم الإنسانية,الفنون,الموضة والتصميم الداخلي والصناعي,منتظم,أنثى,سعودي,18
1/1/2016,دراسات عليا,ماجستير,جامعات حكومية,الرياض,الرياض,جامعة,جامعة الملك سعود,العلوم الاجتماعية والصحافة والإعلام,العلوم الاجتماعية والسلوكية,علم الاقتصاد,منتظم,ذكر,سعودي,2
1/1/2016,بكالوريوس,بكالوريوس,جامعات حكومية,الرياض,الدوادمي,جامعة,جامعة شقراء,تكنولوجيا الاتصالات والمعلومات,تكنولوجيا الاتصالات والمعلومات,تطوير وتحليل البرمجيات والتطبيقات,منتظم,أنثى,غير سعودي,1
1/1/2013,بكالوريوس,بكالوريوس,جامعات حكومية,مكة المكرمة,الليث,جامعة,جامعة أم القرى,العلوم الطبيعية والرياضيات والإحصاء,العلوم الفيزيائية,الكيمياء,منتظم,أنثى,سعودي,70
1/1/2016,بكالوريوس,بكالوريوس,جامعات حكومية,مكة المكرمة,الطائف,جامعة,جامعة الطائف,الفنون والعلوم الإنسانية,الدراسات الإنسانية,الدين وعلوم الأديان,منتظم,ذكر,سعودي,8
1/1/2017,دراسات عليا,دكتوراه,جامعات حكومية,مكة المكرمة,مكة المكرمة,جامعة,جامعة أم القرى,الأعمال والإدارة والقانون,القانون,القانون,موازي,ذكر,سعودي,24
1/1/2017,دبلوم متوسط,دبلوم متوسط,مؤسسات التعليم العالي الأخرى,الرياض,المجمعة,كلية,المؤسسة العامة للتدريب التقني والمهني,الهندسة والتصنيع والبناء,الهندسة والحرف الهندسية,الكهرباء والطاقة,منتظم,ذكر,غير سعودي,1
1/1/2016,بكالوريوس,بكالوريوس,جامعات حكومية,مكة المكرمة,مكة المكرمة,جامعة,جامعة أم القرى,الصحة والرفاة,الصحة,العلاج وإعادة التأهيل,منتظم,أنثى,سعودي,90
1/1/2013,بكالوريوس,بكالوريوس,جامعات وكليات أهلية,الرياض,الرياض,جامعة,جامعة الفيصل,الأعمال والإدارة والقانون,الأعمال والإدارة,التسيير والإدارة,منتظم,ذكر,سعودي,55
1/1/2014,دراسات عليا,ماجستير,جامعات حكومية,الرياض,الرياض,جامعة,جامعة الملك سعود,التعليم,التعليم,تدريب المعلمين مع موضوع تخصصي,منتظم,ذكر,سعودي,22
1/1/2013,بكالوريوس,بكالوريوس,جامعات حكومية,الرياض,الرياض,جامعة,جامعة الملك سعود,الصحة والرفاة,الصحة,التمريض والقبالة,منتظم,أنثى,غير سعودي,1
