Year,Educational Level,Academic Level,Type of Educational Institution,Region,State,Type of University,University Name,General Field,Field,Specialization,Education type,Gender,Nationality,Number of Students
1/1/2014,بكالوريوس,بكالوريوس,جامعات حكومية,مكة المكرمة,جدة,جامعة,جامعة الملك عبدالعزيز,الخدمات,خدمات النقل,خدمات النقل,منتظم,ذكر,سعودي,44
1/1/2013,بكالوريوس,بكالوريوس,جامعات حكومية,الرياض,الأفلاج,جامعة,جامعة الأمير سطام بن عبدالعزيز,العلوم الطبيعية والرياضيات والإحصاء,الرياضيات والإحصاء,الرياضيات,منتظم,ذكر,غير سعودي,4
1/1/2014,دراسات عليا,ماجستير,جامعات حكومية,المدينة المنورة,المدينة المنورة,جامعة,جامعة طيبة,التعليم,التعليم,علم التربية,منتظم,ذكر,سعودي,28
1/1/2017,دبلوم متوسط,دبلوم متوسط,مؤسسات التعليم العالي الأخرى,حائل,حائل,كلية,المؤسسة العامة للتدريب التقني والمهني,الهندسة والتصنيع والبناء,الهندسة والحرف الهندسية,الإلكترونيات والأتمتة,منتظم,ذكر,غير سعودي,3
1/1/2016,دراسات عليا,دكتوراه,جامعات حكومية,الرياض,الرياض,جامعة,جامعة الإمام محمد بن سعود الإسلامية,الأعمال والإدارة والقانون,القانون,القانون,منتظم,ذكر,غير سعودي,9
1/1/2013,بكالوريوس,بكالوريوس,جامعات حكومية,القصيم,بريدة,جامعة,جامعة القصيم,الصحة والرفاة,الصحة,العلاج وإعادة التأهيل,منتظم,أنثى,سعودي,580
1/1/2013,بكالوريوس,بكالوريوس,جامعات وكليات أهلية,الرياض,الرياض,جامعة,جامعة رياض العلم,الصحة والرفاة,الصحة,الصيدلة,منتظم,أنثى,سعودي,83
1/1/2014,بكالوريوس,بكالوريوس,جامعات حكومية,الشرقية,الإحساء,جامعة,جامعة الملك فيصل,التعليم,التعليم,تدريب المعلمين دون موضوع تخصصي,منتسب,أنثى,سعودي,1021
1/1/2015,بكالوريوس,بكالوريوس,جامعات حكومية,نجران,شرورة,جامعة,جامعة نجران,العلوم الطبيعية والرياضيات والإحصاء,الرياضيات والإحصاء,الرياضيات,منتظم,ذكر,سعودي,51
1/1/2014,دبلوم متوسط,دبلوم متوسط,مؤسسات التعليم العالي الأخرى,عسير,خميس مشيط,كلية,المؤسسة العامة للتدريب التقني والمهني,الهندسة والتصنيع والبناء,الهندسة والحرف الهندسية,تكنولوجيا حماية البيئة,منتظم,ذكر,غير سعودي,1
1/1/2014,بكالوريوس,بكالوريوس,جامعات حكومية,الرياض,شقراء,جامعة,جامعة شقراء,تكنولوجيا الاتصالات والمعلومات,تكنولوجيا الاتصالات والمعلومات,تطوير وتحليل البرمجيات والتطبيقات,منتظم,أنثى,سعودي,62
1/1/2013,بكالوريوس,بكالوريوس,جامعات وكليات أهلية,مكة المكرمة,جدة,جامعة,جامعة عفت الأهلية,الأعمال والإدارة والقانون,برامج غير محددة في الأعمال والإدارة والقانون,برامج غير محددة في الأعمال والإدارة والقانون,منتظم,أنثى,سعودي,89
1/1/2017,دراسات عليا,ماجستير,جامعات حكومية,تبوك,تبوك,جامعة,جامعة تبوك,الفنون والعلوم الإنسانية,اللغات,الأدب وعلوم اللغات,موازي,ذكر,سعودي,2
